,0.1,timestamp,Qmc,Qhv,Qlv,Qmv
74,74,07/10/2015 11:00,0.811421399,0.393989983,0.813596865,0.803102468
75,75,10/10/2015 06:00,0.18387198,0.068447412,0.032032714,0.060970475
76,76,10/10/2015 01:00,0.068402887,0.085141903,0.136650196,0.124098732
77,77,04/10/2015 06:00,0.158770003,0.060100167,0.044300562,0.065378138
78,78,05/10/2015 17:00,0.7295262,0.429048414,0.834724825,0.809273196
79,79,10/10/2015 07:00,0.640100408,0.392320534,0.263077185,0.34908689
80,80,07/10/2015 07:00,0.482271729,0.277128548,0.174305674,0.242263565
81,81,05/10/2015 23:00,0.22654534,0.115191987,0.387289146,0.347244882
82,82,08/10/2015 11:00,0.707248196,0.422370618,0.754131879,0.74261881
83,83,06/10/2015 15:00,0.798556636,0.407345576,0.847844607,0.828759013
84,84,07/10/2015 14:00,0.864135551,0.540901503,0.901346056,0.894755539
85,85,07/10/2015 08:00,0.768434264,0.475792988,0.580337366,0.62415136
86,86,06/10/2015 11:00,0.839661123,0.45409015,0.797239734,0.801365718
87,87,05/10/2015 01:00,0.060872294,0.048414023,0.115181462,0.102494606
88,88,08/10/2015 05:00,0.056793222,0.016694491,0,0.009617915
89,89,08/10/2015 22:00,0.30310637,0.280467446,0.527347078,0.485171833
90,90,07/10/2015 17:00,0.817696894,0.656093489,0.830805929,0.844297669
91,91,07/10/2015 05:00,0.060244744,0.011686144,0.016357131,0.022314615
92,92,09/10/2015 03:00,0.002196423,0.006677796,0.019424093,0.014433451
93,93,08/10/2015 23:00,0.189833699,0.16360601,0.382688703,0.342495132
94,94,08/10/2015 02:00,0.022905554,0.026711185,0.069177032,0.058378506
95,95,06/10/2015 19:00,0.601819893,0.300500835,0.805759073,0.752315668
96,96,04/10/2015 03:00,0.001255099,0.006677796,0.020787187,0.015328141
97,97,06/10/2015 09:00,0.825227487,0.492487479,0.603680354,0.653412978
98,98,07/10/2015 19:00,0.748038908,0.392320534,0.859601295,0.827824851
